"Source:","/home/jerryo/kicad/battery_pwr_brd/battery_pwr_brd_r3/battery_pwr_brd_r3.kicad_sch"
"Date:","Fri 04 Oct 2024 03:51:49 PM PDT"
"Tool:","Eeschema 7.0.11-7.0.11~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Vendor","Vendor Part#"
"1","1","BT1","BATT HLD COIN 20MM 2 CELL PC PIN","Device:Battery","Battery:BatteryHolder_Keystone_103_1x20mm","~","","","Digikey","BH800S-ND"
"2","4","C1, C2, C7, C8","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER, 0.1uF, 25V, X7R, 0805","Digikey","1276-1099-1-ND "
"3","2","C3, C6","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER, 4.7uF, 25V, X7R, 0805","Digikey","1276-1244-1-ND "
"4","2","C4, C5","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER 1UF 25V X7R 0805","Digikey","1276-1066-1-ND "
"5","1","D1","PWR_OK","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://sunledusa.com/products/spec/XZM2CRK55W-3.pdf","","LED RED CLEAR SMD  1206 ","Digikey","732-11422-1-ND "
"6","2","D2, D4","1N5819W","Diode:1N5819WS","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf","","DIODE SCHOTTKY 40V 1A SOD123FL","Digikey","1655-1N5819WCT-ND"
"7","1","FB1","FerriteBead, 6A 1 9mΩ 33Ω@100MHz ±25% 1206 Ferrite Beads ROHS","Device:FerriteBead_Small","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19229","","FERRITE BEAD 50 OHM 1206 1LN","Digikey","1934-1465-1-ND"
"8","1","J2","Output_5V","Connector_Generic:Conn_01x02","","~","","","",""
"9","1","J3","Output_3V3","Connector_Generic:Conn_01x02","","~","","","",""
"10","1","Q2","MMBT3904","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf","","TRANS NPN 40V 0.2A SOT23-3","Digikey","SMMBT3904LT3GOSCT-ND"
"11","1","R1","100K","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""," RES 100K OHM %1 1/10W 0805 SMD","Digikey","311-100KCRCT-ND"
"12","1","R2","2.7K","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""," RES 2.7K OHM %1 1/10W 0805 SMD","Digiley","A126359CT-ND "
"13","1","R3","5.1K","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""," RES 5.1K OHM %1 1/10W 0805 SMD","Digikey","311-5.1KARCT-ND "
"14","1","R4","10K","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""," RES 10K OHM %1 1/10W 1206 SMD","Digkey","311-10.0KCRCT-ND "
"15","1","SW1","SW_DPDT_x2",":SW_DPDT_x2_1","jerrys_Library:SW_DPDT_CK_JS202011JCQN","https://www.ckswitches.com/media/1422/js.pdf","","SWITCH SLIDE DPDT 300MA 6V","Digikey","401-2002-1-ND"
"16","1","U1","MCP1755",":MCP1755_1","Package_TO_SOT_SMD:SOT-223-6","https://ww1.microchip.com/downloads/en/DeviceDoc/MCP1755-MCP1755S-Data-Sheet-DS20005160B.pdf","","IC REG LIN 3.3V 300MA SOT223-3","Digikey","MCP1755ST-3302E/DBCT-ND "
"17","1","U2","LM1117MP-3.3","Regulator_Linear:LM1117MP-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf","","IC REG LINEAR 3.3V 800MA SOT223","Digikey","497-1242-1-ND"
