"Source:","/home/jerryo/kicad/rf_attenuator/rf_attenuator_r3/rf_attenuator_r3.kicad_sch"
"Date:","Thu 26 Sep 2024 01:36:54 PM PDT"
"Tool:","Eeschema 7.0.11-7.0.11~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","30"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Vendor","Vendor Part#"
"1","2","J1, J2","BNC","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~","","Digikey","WM5514-ND"
"2","1","R1","5.9","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","541-5.90RCT-ND "
"3","2","R2, R3","866","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","541-866AFCT-ND"
"4","1","R4","11.5","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","541-11.5AFCT-ND"
"5","2","R5, R6","432","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","118-CR2512-FX-4320ELFCT-ND"
"6","1","R7","17.8","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","541-17.8AFCT-ND"
"7","2","R8, R9","294","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","2019-RK73H3ATTE2940FCT-ND"
"8","1","R10","36","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","RMCF2512JT36R0CT-ND"
"9","2","R11, R12","150","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","541-150AFCT-ND"
"10","1","R13","71.5","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","541-71.5AFCT-ND"
"11","2","R14, R15","95.3","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","541-95.3AFCT-ND"
"12","2","R16, R19","243","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","RMCF2512FT243RCT-ND "
"13","4","R17, R18, R20, R21","61.9","Device:R_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","Digikey","541-61.9AFCT-ND"
"14","7","SW1, SW2, SW3, SW4, SW5, SW6, SW7","SW_DPDT_x2","Switch:SW_DPDT_x2","jerrys_Library:SW_DPDT_CK_JS202011JCQN","~","","Digikey","401-2002-1-ND"
